"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Analândia (SP)","3582","2713","748","...","15","13","...","-","...","-","-","...","81","..."
"Andradina (SP)","55161","37010","9266","...","611","2111","...","-","...","450","-","...","4910","..."
"Angatuba (SP)","19297","15022","2917","...","236","47","...","-","...","21","-","...","720","..."
"Anhembi (SP)","4535","3711","548","...","-","14","...","-","...","-","-","...","220","..."
"Anhumas (SP)","3411","3048","276","...","-","-","...","-","...","-","-","...","85","..."
"Aparecida (SP)","34904","31583","2311","...","19","138","...","-","...","18","-","...","631","..."
"Aparecida d'Oeste (SP)","4935","3815","470","...","50","303","...","-","...","-","-","...","269","..."
"Apiaí (SP)","27162","18540","6773","...","17","253","...","-","...","-","6","...","1458","..."
"Araçariguama (SP)","11154","7094","2885","...","79","6","...","-","...","10","-","...","895","..."
"Araçatuba (SP)","169254","110400","36180","...","1559","5838","...","44","...","1505","21","...","9553","..."
"Araçoiaba da Serra (SP)","20112","11772","3415","...","237","131","...","-","...","62","-","...","3495","..."
"Aramina (SP)","4763","3306","491","...","73","375","...","-","...","-","-","...","512","..."
"Arandu (SP)","6065","4669","919","...","92","33","...","-","...","-","-","...","341","..."
"Arapeí (SP)","2618","2323","196","...","18","12","...","-","...","-","-","...","69","..."
"Araraquara (SP)","182471","133286","23584","...","2223","9271","...","-","...","262","30","...","10670","..."
"Araras (SP)","104196","78280","18171","...","1628","1467","...","14","...","113","-","...","3684","..."
"Arco-Íris (SP)","2163","1604","460","...","-","-","...","-","...","-","-","...","80","..."
"Arealva (SP)","7244","6022","904","...","31","34","...","-","...","7","-","...","227","..."
"Areias (SP)","3600","3311","222","...","-","-","...","-","...","-","-","...","40","..."
"Areiópolis (SP)","10296","6523","2754","...","67","11","...","-","...","-","-","...","937","..."
"Ariranha (SP)","7477","6434","779","...","13","80","...","-","...","-","-","...","112","..."
"Artur Nogueira (SP)","33124","24355","6642","...","475","198","...","17","...","14","-","...","1209","..."
"Arujá (SP)","59185","39245","11567","...","970","720","...","-","...","277","-","...","5625","..."
"Aspásia (SP)","1861","1405","356","...","16","3","...","-","...","-","-","...","74","..."
"Assis (SP)","87251","60865","18526","...","943","867","...","7","...","85","-","...","3943","..."
"Atibaia (SP)","111300","80899","17264","...","1301","2781","...","78","...","1102","-","...","5689","..."
"Auriflama (SP)","13513","9530","2961","...","34","394","...","-","...","-","-","...","538","..."
"Avaí (SP)","4596","2748","1293","...","-","28","...","-","...","-","-","...","518","..."
"Avanhandava (SP)","8829","6408","1584","...","101","156","...","-","...","27","-","...","537","..."
"Avaré (SP)","76472","58982","12416","...","890","1014","...","-","...","-","-","...","2509","..."
"Bady Bassitt (SP)","11550","8911","1891","...","67","310","...","-","...","46","-","...","251","..."
"Balbinos (SP)","1313","1101","205","...","8","-","...","-","...","-","-","...","-","..."
"Bálsamo (SP)","7340","6033","842","...","24","229","...","-","...","-","-","...","156","..."
"Bananal (SP)","9713","7677","1240","...","191","162","...","-","...","-","-","...","406","..."
"Barão de Antonina (SP)","2794","2225","449","...","43","29","...","-","...","-","-","...","48","..."
"Barbosa (SP)","5837","3752","1400","...","50","130","...","-","...","-","-","...","425","..."
"Bariri (SP)","28224","24683","2292","...","231","420","...","-","...","-","-","...","480","..."
"Barra Bonita (SP)","35487","29405","3476","...","185","853","...","-","...","67","-","...","1279","..."
"Barra do Chapéu (SP)","4846","2946","1244","...","-","17","...","-","...","10","-","...","607","..."
"Barra do Turvo (SP)","8108","5178","2136","...","29","-","...","-","...","-","-","...","675","..."
"Barretos (SP)","103913","79667","13863","...","1192","3033","...","-","...","146","87","...","4682","..."
"Barrinha (SP)","24207","15854","5361","...","305","100","...","-","...","-","11","...","2409","..."
"Barueri (SP)","208281","132373","51554","...","1802","1364","...","245","...","286","7","...","18229","..."
"Bastos (SP)","20588","14702","3857","...","124","29","...","-","...","357","-","...","1351","..."
"Batatais (SP)","51112","43271","4768","...","416","708","...","-","...","16","-","...","1440","..."
"Bauru (SP)","316064","197118","74558","...","3772","9856","...","18","...","1073","-","...","23097","..."
"Bebedouro (SP)","74815","52644","13965","...","903","2507","...","-","...","64","10","...","4218","..."
"Bento de Abreu (SP)","2394","2007","328","...","-","5","...","-","...","-","-","...","46","..."
"Bernardino de Campos (SP)","10720","8592","1536","...","78","119","...","-","...","-","-","...","301","..."
"Bertioga (SP)","30039","20535","5176","...","262","588","...","12","...","36","-","...","2856","..."
"Bilac (SP)","6088","4895","862","...","-","137","...","-","...","50","-","...","125","..."
"Birigui (SP)","94300","69276","14843","...","1458","2556","...","-","...","378","20","...","4057","..."
"Biritiba Mirim (SP)","24653","18435","3669","...","278","233","...","-","...","376","-","...","1095","..."
"Boa Esperança do Sul (SP)","12573","9500","1757","...","233","195","...","-","...","-","-","...","808","..."
"Bocaina (SP)","9442","8374","731","...","72","152","...","-","...","-","-","...","100","..."
"Bofete (SP)","7384","5531","1535","...","73","13","...","-","...","-","-","...","224","..."
"Boituva (SP)","34368","24493","6216","...","682","472","...","-","...","142","-","...","2301","..."
"Bom Jesus dos Perdões (SP)","13313","10630","1716","...","73","61","...","-","...","87","-","...","582","..."
"Bom Sucesso de Itararé (SP)","3231","2692","383","...","22","2","...","-","...","-","-","...","132","..."
"Borá (SP)","795","623","114","...","-","-","...","-","...","2","-","...","56","..."
"Boracéia (SP)","3739","3332","378","...","-","-","...","-","...","-","-","...","25","..."
"Borborema (SP)","13193","11346","1447","...","88","46","...","-","...","20","-","...","167","..."
"Borebi (SP)","1933","1258","339","...","8","12","...","-","...","-","-","...","304","..."
"Botucatu (SP)","108306","78708","19688","...","1699","2152","...","38","...","49","-","...","4909","..."
"Bragança Paulista (SP)","125031","96267","19090","...","704","1868","...","10","...","441","8","...","5187","..."
"Braúna (SP)","4383","3430","631","...","-","117","...","-","...","-","-","...","205","..."
"Brejo Alegre (SP)","2308","1752","320","...","47","-","...","-","...","45","-","...","135","..."
"Brodowski (SP)","17139","14870","1479","...","299","77","...","-","...","-","-","...","243","..."
"Brotas (SP)","18886","15528","2142","...","116","376","...","-","...","-","-","...","545","..."
"Buri (SP)","17629","11852","4227","...","107","125","...","-","...","-","-","...","1023","..."
"Buritama (SP)","13854","10473","1595","...","230","519","...","-","...","22","-","...","830","..."
"Buritizal (SP)","3674","3000","457","...","-","144","...","-","...","-","-","...","51","..."
"Cabrália Paulista (SP)","4656","3671","750","...","-","100","...","-","...","-","-","...","122","..."
"Cabreúva (SP)","33100","23111","7643","...","311","105","...","-","...","256","-","...","1423","..."
"Caçapava (SP)","76130","59027","10567","...","633","1496","...","5","...","206","-","...","3372","..."
"Cachoeira Paulista (SP)","27205","21138","3862","...","53","674","...","25","...","-","-","...","1355","..."
"Caconde (SP)","18378","15925","1613","...","150","414","...","-","...","13","-","...","241","..."
"Cafelândia (SP)","15793","12626","1609","...","96","291","...","-","...","228","-","...","904","..."
"Caiabu (SP)","4077","3526","455","...","-","-","...","-","...","-","-","...","73","..."
"Caieiras (SP)","71221","46900","16116","...","893","906","...","9","...","61","-","...","5372","..."
"Caiuá (SP)","4192","3373","604","...","25","-","...","-","...","-","-","...","172","..."
"Cajamar (SP)","50761","34425","9718","...","820","175","...","-","...","-","-","...","4418","..."
"Cajati (SP)","29227","12326","10323","...","224","201","...","-","...","62","-","...","5720","..."
"Cajobi (SP)","9174","7642","1196","...","67","81","...","-","...","-","14","...","139","..."
"Cajuru (SP)","21085","17811","1768","...","266","238","...","-","...","-","-","...","929","..."
"Campina do Monte Alegre (SP)","5209","4066","808","...","74","6","...","-","...","-","-","...","219","..."
"Campinas (SP)","969396","662944","177514","...","8329","22359","...","364","...","2407","192","...","70962","..."
"Campo Limpo Paulista (SP)","63724","42546","13600","...","887","539","...","-","...","103","-","...","4855","..."
"Campos do Jordão (SP)","44252","34829","5781","...","350","493","...","-","...","126","-","...","2119","..."
"Campos Novos Paulista (SP)","4181","3556","500","...","25","-","...","-","...","-","-","...","91","..."
"Cananéia (SP)","12298","7344","2509","...","133","159","...","-","...","17","-","...","1660","..."
"Canas (SP)","3614","3074","455","...","5","-","...","-","...","34","-","...","47","..."
"Cândido Mota (SP)","29280","22565","4921","...","708","44","...","-","...","8","-","...","986","..."
"Cândido Rodrigues (SP)","2613","2439","123","...","-","-","...","-","...","3","-","...","48","..."
"Canitar (SP)","3481","2688","588","...","26","9","...","-","...","-","-","...","157","..."
"Capão Bonito (SP)","46732","34332","8679","...","266","453","...","-","...","108","-","...","2405","..."
"Capela do Alto (SP)","14247","11000","2383","...","141","22","...","-","...","-","-","...","578","..."
"Capivari (SP)","41468","30468","8077","...","308","307","...","-","...","-","-","...","2108","..."
"Caraguatatuba (SP)","78921","49688","17337","...","811","894","...","24","...","157","8","...","9032","..."
"Carapicuíba (SP)","344596","219729","78025","...","3051","2208","...","34","...","618","80","...","35354","..."
"Cardoso (SP)","11605","8406","1665","...","205","177","...","-","...","-","-","...","1070","..."
"Casa Branca (SP)","26800","21188","3583","...","176","690","...","-","...","71","-","...","1073","..."
"Cássia dos Coqueiros (SP)","2871","2545","244","...","6","22","...","-","...","-","-","...","49","..."
"Castilho (SP)","14948","11993","1872","...","118","78","...","-","...","15","-","...","820","..."
"Catanduva (SP)","105847","75164","16816","...","993","5123","...","8","...","55","14","...","5871","..."
"Catiguá (SP)","6555","5150","1034","...","159","15","...","-","...","7","-","...","154","..."
"Cedral (SP)","6700","5476","777","...","57","182","...","-","...","-","-","...","201","..."
"Cerqueira César (SP)","15144","11965","2350","...","28","290","...","-","...","15","-","...","458","..."
"Cerquilho (SP)","29508","23922","4185","...","462","105","...","-","...","26","-","...","789","..."
"Cesário Lange (SP)","12883","8898","2163","...","1237","61","...","-","...","19","-","...","385","..."
"Charqueada (SP)","13037","10190","2379","...","108","80","...","-","...","5","-","...","267","..."
"Clementina (SP)","5404","4522","649","...","19","40","...","-","...","44","-","...","73","..."
"Colina (SP)","16664","11882","2014","...","189","977","...","-","...","-","208","...","1039","..."
"Colômbia (SP)","5954","4406","836","...","87","44","...","-","...","-","-","...","551","..."
"Conchal (SP)","22676","16325","4116","...","246","121","...","-","...","46","-","...","1636","..."
"Conchas (SP)","14904","12358","2059","...","74","130","...","-","...","-","-","...","240","..."
"Cordeirópolis (SP)","17591","14936","1861","...","111","137","...","-","...","-","-","...","471","..."
"Coroados (SP)","4417","3460","726","...","38","46","...","-","...","3","-","...","112","..."
"Coronel Macedo (SP)","5589","4963","461","...","58","-","...","-","...","10","-","...","76","..."
"Corumbataí (SP)","3794","3037","601","...","11","36","...","-","...","-","-","...","95","..."
"Cosmópolis (SP)","44355","27008","10968","...","912","374","...","-","...","31","-","...","4304","..."
"Cosmorama (SP)","7372","6162","667","...","103","87","...","-","...","-","-","...","322","..."
"Cotia (SP)","148987","100898","25756","...","715","1992","...","167","...","518","9","...","14637","..."
"Cravinhos (SP)","28411","22799","3455","...","401","226","...","33","...","57","-","...","1274","..."
"Cristais Paulista (SP)","6579","5422","625","...","61","216","...","-","...","11","-","...","215","..."
"Cruzália (SP)","2610","1958","577","...","-","-","...","-","...","-","-","...","75","..."
"Cruzeiro (SP)","73492","56009","11014","...","913","724","...","-","...","78","-","...","4033","..."
"Cubatão (SP)","108309","69981","22865","...","810","442","...","-","...","40","60","...","12612","..."
"Cunha (SP)","23090","17945","4237","...","146","-","...","-","...","-","-","...","466","..."
"Descalvado (SP)","28921","24359","3031","...","374","273","...","-","...","21","-","...","666","..."
"Diadema (SP)","357064","240106","64452","...","2894","3875","...","10","...","2061","71","...","36577","..."
"Dirce Reis (SP)","1623","1336","212","...","-","9","...","-","...","-","-","...","65","..."
"Divinolândia (SP)","12016","10502","1029","...","58","98","...","-","...","-","-","...","299","..."
"Dobrada (SP)","7007","5526","1136","...","17","78","...","-","...","-","-","...","210","..."
"Dois Córregos (SP)","22522","18031","3300","...","94","332","...","-","...","-","-","...","660","..."
